cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2016-09-01,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,1,,,,0,0,0.00344827586206897,0,0,0.00344827586206897,0,0.00344827586206897,0,0.00344827586206897,0,0.00344827586206897,0,0.00344827586206897,0,0.00689655172413793,0.00689655172413793
2016-12-01,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,1,0.00398936170212766,0.00265957446808511,0.00132978723404255,0.00398936170212766,0.00132978723404255,0.00398936170212766,0.00132978723404255,0.00132978723404255,0,0.00398936170212766,0.00132978723404255,0.00664893617021277,0.00398936170212766,0.00132978723404255,0.00132978723404255,0.00265957446808511,0.00398936170212766,0,0.00132978723404255,
2017-02-01,1,0.00236686390532544,0.0029585798816568,0.00118343195266272,0.00414201183431953,0.00118343195266272,0.00236686390532544,0.00177514792899408,0.00118343195266272,0.00177514792899408,0.00118343195266272,0.0029585798816568,0.00118343195266272,0.00177514792899408,0.00118343195266272,0.000591715976331361,0.000591715976331361,0.00236686390532544,0,,
2017-03-01,1,0.00505639828860366,0.00350058343057176,0.00388953714507974,0.00350058343057176,0.00155581485803189,0.00155581485803189,0.00311162971606379,0.00350058343057176,0.000777907429015947,0.00388953714507974,0.00116686114352392,0.00233372228704784,0.00116686114352392,0.00155581485803189,0.00233372228704784,0.000777907429015947,0.00155581485803189,,,
2017-04-01,1,0.00602150537634409,0.0021505376344086,0.00172043010752688,0.00301075268817204,0.00258064516129032,0.00344086021505376,0.00301075268817204,0.00301075268817204,0.00172043010752688,0.00258064516129032,0.000860215053763441,0.000860215053763441,0.00043010752688172,0.000860215053763441,0.000860215053763441,0.00129032258064516,,,,
2017-05-01,1,0.00480090369951991,0.00480090369951991,0.00395368539960463,0.00310646709968935,0.00338887319966111,0.00423609149957639,0.0014120304998588,0.00254165489974583,0.00254165489974583,0.00254165489974583,0.00338887319966111,0.00254165489974583,0.000282406099971759,0.00197684269980232,0.00225924879977408,,,,,
2017-06-01,1,0.00451321727917473,0.00354609929078014,0.00386847195357834,0.00257898130238556,0.00386847195357834,0.00354609929078014,0.00225660863958736,0.00128949065119278,0.00225660863958736,0.00322372662798195,0.00322372662798195,0.00161186331399097,0.00128949065119278,0.00193423597678917,,,,,,
2017-07-01,1,0.00523286237571952,0.00340136054421769,0.00235478806907378,0.00287807430664574,0.00209314495028781,0.00313971742543171,0.0010465724751439,0.00183150183150183,0.00261643118785976,0.00209314495028781,0.00287807430664574,0.00130821559392988,0.00261643118785976,,,,,,,
2017-08-01,1,0.00677966101694915,0.00338983050847458,0.0026634382566586,0.0036319612590799,0.00532687651331719,0.00290556900726392,0.0026634382566586,0.00145278450363196,0.00145278450363196,0.00242130750605327,0.00193704600484262,0.00121065375302663,,,,,,,,
2017-09-01,1,0.00687116564417178,0.00539877300613497,0.00294478527607362,0.00441717791411043,0.00220858895705521,0.00220858895705521,0.00245398773006135,0.00294478527607362,0.00171779141104294,0.00269938650306748,0.000736196319018405,,,,,,,,,
2017-10-01,1,0.00705828779599271,0.00250455373406193,0.000910746812386157,0.00227686703096539,0.00204918032786885,0.00204918032786885,0.00364298724954463,0.00273224043715847,0.00204918032786885,0.00204918032786885,,,,,,,,,,
2017-11-01,1,0.00556483027267668,0.00389538119087368,0.00166944908180301,0.00194769059543684,0.00180856983861992,0.00111296605453534,0.00194769059543684,0.00125208681135225,0.000556483027267668,,,,,,,,,,,
2017-12-01,1,0.00220709950340261,0.00275887437925326,0.0034945742137208,0.00257494942063638,0.00202317454478573,0.00165532462755196,0.000183924958616884,0.00220709950340261,,,,,,,,,,,,
2018-01-01,1,0.0033088764206589,0.00359660480506402,0.00287728384405122,0.00287728384405122,0.00158250611422817,0.00172637030643073,0.00230182707524097,,,,,,,,,,,,,
2018-02-01,1,0.00361862806796728,0.0039332913782253,0.00298930144745123,0.0026746381371932,0.00220264317180617,0.00204531151667716,,,,,,,,,,,,,,
2018-03-01,1,0.00403982109363728,0.00302986582022796,0.0028855864954552,0.00129851392295484,0.00115423459818208,,,,,,,,,,,,,,,
2018-04-01,1,0.00582263362197671,0.00313526425798746,0.00238877276799045,0.00134368468199463,,,,,,,,,,,,,,,,
2018-05-01,1,0.00516246583662314,0.00258123291831157,0.00197388399635591,,,,,,,,,,,,,,,,,
2018-06-01,1,0.00422297297297297,0.0027027027027027,,,,,,,,,,,,,,,,,,
2018-07-01,1,0.00515206913744391,,,,,,,,,,,,,,,,,,,
2018-08-01,1,,,,,,,,,,,,,,,,,,,,
